Date,City,Cause of Death
2012-12-24,"Kabul, Afghanistan",Terrorist Action
2012-10-13,"Kabul, Afghanistan",Homicide
2012-10-05,"Urgon City, Urgon, Paktika",Homicide
2012-09-29,"Wardak Province, Afghanistan",Terrorist Action
2012-08-08,"Kunar Province, Afghanistan",Homicide
2012-08-08,"Kunar, Afghanistan",Terrorist Action
2012-08-07,"Logar Province, Afghanistan",Terrorist Action
2012-07-23,"Parwan Province, Afghanistan",Homicide
2012-07-22,"Herat, Afghanistan",Terrorist Action
2012-07-22,"Herat, Afghanistan",Terrorist Action
2012-06-19,Afghanistan,Terrorist Action
2012-06-01,"FOB Salerno, Afghanistan",Terrorist Action
2012-05-05,Afghanistan,Terrorist Action
2012-04-18,"Camp Eggers, Kabul, Afghanistan",Suicide
2012-04-16,"Pul-i-Alam, Logar, Afghanistan",Terrorist Action
2012-01-16,"Helmand, Afghanistan",Air Accident
2012-01-16,"Helmand, Afghanistan",Air Accident
2012-01-16,"Helmand, Afghanistan",Air Accident
2011-12-11,"Kabul, Afghanistan",Terrorist Action
2011-12-06,"Kabul, Afghanistan",Terrorist Action
2011-10-29,"Kabul, Afghanistan",Terrorist Action
2011-10-29,"Kabul, Afghanistan",Terrorist Action
2011-10-29,"Kabul, Afghanistan",Terrorist Action
2011-10-29,"Kabul, Afghanistan",Terrorist Action
2011-10-29,"Kabul, Afghanistan",Terrorist Action
2011-10-29,"Kabul, Afghanistan",Terrorist Action
2011-10-29,"Kabul, Afghanistan",Terrorist Action
2011-09-25,"Kabul, Afghanistan",Homicide
2011-09-05,"Ghazni Province, Afghanistan",Terrorist Action
2011-07-30,"Samangan Province, Afghanistan",Vehicle Accident - Auto
2011-07-27,"Kandahar Province, Afghanistan",Terrorist Action
2011-07-09,"Panjshir, Afghanistan",Homicide
2011-06-04,"Laghman Province, Afghanistan",Terrorist Action
2011-04-28,"FOB Bermel/Boris, Afghanistan",Terrorist Action
2011-04-27,"Kabul, Afghanistan",Terrorist Action
2011-02-07,"Kandahar, Afghanistan",Terrorist Action
2010-09-07,"Kandahar, Afghanistan",Terrorist Action
2010-09-06,"Kandahar, Afghanistan",Terrorist Action
2010-09-06,"Kabul, Afghanistan",Terrorist Action
2010-09-06,"Kandahar, Afghanistan",Terrorist Action
2010-09-06,"Kabul, Afghanistan",Terrorist Action
2010-08-05,"Faizabad, Badakhan, Afghanistan",Terrorist Action
2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
2010-08-05,"Faizabad, Badakhshan, Afghanistan",Terrorist Action
2010-07-29,"Sheberghan City, Sheberghan, Afghanistan",Terrorist Action
2010-07-20,"Kabul, Afghanistan",Homicide
2010-07-20,"Kabul, Afghanistan",Homicide
2010-07-10,"Kandahar City, Kandahar, Afghanistan",Terrorist Action
2010-06-17,"Kabul,Kabul, Afghanistan",Suicide
2010-06-07,"Kandahar City,Kandahar, Afghanistan",Terrorist Action
2010-05-19,"Bagram,Parwan, Afghanistan",Terrorist Action
2010-05-17,"Kabul,Kabul, Afghanistan",Air Accident
2009-12-24,"Kabul, Kabul, Aghanistan",Vehicle Accident - Auto
2009-12-06,"Kabul, Kabul, Aghanistan",Drug-Related
2009-11-17,"Kabul, Kabul, Aghanistan",Terrorist Action
2009-10-28,"Kabul, Kabul, Aghanistan",Terrorist Action
2009-09-20,"Kabul, Kabul, Aghanistan",Terrorist Action
